datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2025-07-01 08:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,,100000.0
2025-07-01 09:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-07-01 09:30:00-04:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-07-01 16:00:00-04:00,100688.16960144043,26993.960159301758,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.006881696014404297,100688.16960144043
2025-07-02 08:30:00-04:00,100000.0,26993.960159301758,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.006834661948513412,99999.99999999999
2025-07-02 09:30:00-04:00,100000.0,26993.960159301758,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999
2025-07-02 09:30:00-04:00,100000.0,26993.960159301758,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999
2025-07-02 16:00:00-04:00,100015.20092773438,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.00015200927734375,100015.20092773435
2025-07-03 08:30:00-04:00,99105.66973876953,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.009093929527992673,99105.6697387695
2025-07-03 09:30:00-04:00,99105.66973876953,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99105.6697387695
2025-07-03 09:30:00-04:00,99105.66973876953,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99105.6697387695
2025-07-03 13:00:00-04:00,99105.66973876953,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99105.6697387695
2025-07-07 08:30:00-04:00,100647.50007629395,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.01555743825341669,100647.5000762939
2025-07-07 09:30:00-04:00,100647.50007629395,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100647.5000762939
2025-07-07 09:30:00-04:00,100647.50007629395,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100647.5000762939
2025-07-07 16:00:00-04:00,100647.50007629395,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100647.5000762939
2025-07-08 08:30:00-04:00,100499.81932067871,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.001467306743866343,100499.81932067868
2025-07-08 09:30:00-04:00,100499.81932067871,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100499.81932067868
2025-07-08 09:30:00-04:00,100499.81932067871,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100499.81932067868
2025-07-08 16:00:00-04:00,100499.81932067871,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100499.81932067868
