time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-07-25 09:30:00-04:00,StockPulse Momentum+Catalyst,,8a6803f508f346549a31df374093f924,AAPL,sell,market,fill,214.6999969482422,61.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,StockPulse Momentum+Catalyst,,ef1acfa3eeaf479f8efe465e402d6aa7,GOOGL,sell,market,fill,191.97999572753906,76.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-25 09:30:00-04:00,StockPulse Momentum+Catalyst,,f3aa626620e5467ea2ed662f4f84d1dc,TSLA,sell,market,fill,308.739990234375,43.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_9,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_10,GOOGL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_11,MSFT,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_12,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_13,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_9,AMD,buy,market,fill,169.0800018310547,80.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_10,GOOGL,buy,market,fill,193.64999389648438,68.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_11,MSFT,buy,market,fill,514.0800170898438,25.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_12,NVDA,buy,market,fill,174.02000427246094,75.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-28 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_13,AMZN,buy,market,fill,233.35000610351562,56.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_14,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_14,TSLA,buy,market,fill,325.54998779296875,41.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,42ebdc28f2d4474b91edce8a7dfc8158,AMD,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,e55a4af8290a445b9925a1a8590a3eaa,GOOGL,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,1f28f82c28cf44e9a12ddb6a5a34ed93,MSFT,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,fe845fb7fca44873b9adebbccf595801,NVDA,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
