time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-07-31 09:30:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,80.0,AMD,stock,,0.0,,182.02000427246094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,68.0,GOOGL,stock,,0.0,,195.7100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,25.0,MSFT,stock,,0.0,,555.22998046875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,75.0,NVDA,stock,,0.0,,182.89999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,56.0,AMZN,stock,,0.0,,235.77000427246094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,sell,fill,41.0,TSLA,stock,,0.0,,319.6099853515625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,24.0,MSFT,stock,,0.0,,535.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,57.0,AMZN,stock,,0.0,,217.2100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,17.0,META,stock,,0.0,,760.72998046875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,74.0,AMD,stock,,0.0,,170.16000366210938,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,69.0,GOOGL,stock,,0.0,,189.02999877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,buy,fill,73.0,NVDA,stock,,0.0,,174.08999633789062,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
